Customer ID,Age,Gender,Annual Income,Spending Score,Age Group
1770b26f-493f-46b6-837f-4237fb5a314e,58,Female,185,95,adult
e81aa8eb-1767-4b77-87ce-1620dc732c5e,62,Female,71,76,old
30661d57-eeb5-4886-970a-9c7d0f260ad8,27,Female,164,37,young
b20fe0a0-e254-4116-b804-5403bb2f59ea,62,Female,63,3,old
4be5f5b0-83f6-4bd2-9056-18a8d5414066,63,Female,89,80,old
caa4ad5a-51b2-4af1-91cb-e2802f620239,32,Female,160,96,adult
0c9d0e0d-a601-488c-9f3f-f036f2bdb536,51,Female,135,87,adult
dc35a079-c3db-44f4-8612-d0af9daea414,64,Female,33,81,old
9c702610-d6ce-48fe-9857-9e295e161ceb,39,Female,48,36,adult
65348b4f-9170-4edc-b035-cc484416face,19,Female,192,57,young
eb6d1dfc-5b3a-4ade-8521-71db4659ad13,61,Female,38,15,old
896aef6f-4dc1-4b4a-8805-68ced6971458,73,Female,171,55,old
e8db83f2-90bf-410e-bd1a-7c9ee14ca32b,90,Female,123,25,old
59052529-9a68-4936-93db-43cc1d541e84,39,Female,136,95,adult
767f9ffd-7211-4045-a1d0-f700220928dc,35,Female,71,52,adult
cfe0eb40-4892-47fd-ac84-29dbd15f7bd4,57,Female,106,7,adult
068b3da4-216a-4157-9474-929a1a10cb6d,82,Female,85,66,old
daf07560-6a2e-47af-9c4b-66a63b93ac34,84,Female,36,5,old
b818a1f8-fdff-41a3-b1ca-de3faee17f81,56,Female,43,52,adult
ea4a4765-11a6-433e-8016-110bc0bc5ed5,21,Female,118,43,young
7c3297d0-408b-4e5e-9c4c-abc9816af35a,67,Female,129,80,old
01552f1a-7600-4641-bed4-8e255b8c61d3,69,Female,73,77,old
a6fac89e-e7a4-482d-9bb6-d32cd2abc346,26,Female,81,29,young
10a2a14c-cebf-410d-81dc-c333101b5e6e,39,Female,45,12,adult
8e6a7fa3-bf7d-47dd-9e50-e3e7133fc39c,27,Female,199,25,young
68969a5d-975c-4a8a-a357-1ce87ab24459,58,Female,85,16,adult
7cb46cd5-4ba6-4177-9d34-ceda14ed832e,45,Female,137,68,adult
579b69ca-a392-45fa-9c5a-25284b10720c,63,Female,57,2,old
04c9da15-a924-4beb-bcb3-3f2e3f6fcee5,25,Female,198,29,young
0a9ca7d8-91f4-4189-a959-e8d5fde13881,48,Female,171,54,adult
3df8f77f-b527-4f3b-a2cf-b163ff5965d9,50,Female,101,32,adult
accc810b-e7e1-44dc-80bd-98e82bef02d1,48,Female,46,95,adult
cb05e681-1286-4f97-8e7d-2c9b67778936,49,Female,190,2,adult
7a9d06b3-26cd-4b0c-aba5-3bb0d0b93c2a,80,Female,31,49,old
c6ee3f30-4f9a-4125-8ba4-c6234e046dfb,33,Female,135,90,adult
97673bb1-e729-47b7-baad-905d6265d941,38,Female,37,91,adult
e426ab28-977d-4660-95ab-2b387d478cc0,83,Female,174,53,old
085e5698-1f05-46dc-b758-61a28ef4dac3,54,Female,29,61,adult
7897bafe-61af-4fdb-b71e-adc2127aadf8,81,Female,189,45,old
7d14cebc-4aed-430e-ae8a-6415fde6e4e6,39,Female,146,81,adult
32cc9d1d-1db3-40f2-9a29-06f8b37d0463,75,Female,118,35,old
4729da16-d88d-4476-949d-404f5f54adb3,19,Female,96,93,young
2ddd5825-e37e-48bd-af2d-5e31c9955021,44,Female,113,14,adult
2260c459-3b7c-443c-a31d-088405b7f09c,55,Female,127,31,adult
601dddb0-0511-48c1-8e91-0dde69040557,52,Female,61,9,adult
50bbe6c3-4d3a-49ae-a529-4b94492fbe8b,72,Female,66,53,old
767bc943-ceae-4dd2-bad9-3fd9c89d7db0,72,Female,36,72,old
af160348-4b39-4b4e-984c-8c078e995f5d,81,Female,111,34,old
9e5e3cf5-07c0-435d-b0f3-fbe03cf91807,64,Female,120,20,old
385017d0-a567-45ce-8528-28c8b8804112,30,Female,99,4,adult
71a58421-e129-420e-85cf-9292c4d2f309,68,Female,194,35,old
8050f9eb-d0a0-4389-8081-65ae272944b4,90,Female,34,98,old
b75fb976-3c52-4fd2-9a94-3a2d85d70a82,36,Female,143,40,adult
690e0568-49a9-475f-aa19-567b98f977bc,72,Female,62,59,old
0ced3471-db47-4b19-9723-e8333b091f98,31,Female,76,65,adult
35ec8343-eb43-4faa-af75-7a731381d1ee,37,Female,133,22,adult
716588b1-f862-4c02-a2cf-115cd43f654c,21,Female,175,33,young
90b18bf2-2413-4212-8934-e67ffc233192,22,Female,106,74,young
8ec74f4e-2836-4605-bf4e-0be43ad7976f,70,Female,198,13,old
5ddc5df7-2656-4cc8-a95e-a0618d7cb8e6,27,Female,40,77,young
3d95829f-3d62-4ee6-a67f-d6efe7029686,21,Female,116,55,young
15ce7dc4-22bf-40cc-b575-9ec4fbe27dd9,51,Female,88,84,adult
f17d239d-6a67-4b77-9fd3-5377ea88c142,49,Female,194,43,adult
958eaa2c-0c0b-46fd-a085-b29ce9d5d8e6,56,Female,55,18,adult
85a5ff51-fe9e-4518-9fb2-11b86df7d52e,46,Female,48,62,adult
af9762ae-ed8e-4aa0-b32c-922d500b4cf1,53,Female,156,35,adult
6abe4dbc-1b70-4a8f-b0b1-7d1bff27fc65,23,Female,115,25,young
0947cfd7-72d1-456a-8524-947bf653fa57,18,Female,96,64,young
ee9dbbc6-b790-4c28-a8b3-07272787b57d,44,Female,172,76,adult
90f1ac1f-07e1-4817-bfde-7e5f23f3e17e,38,Female,182,68,adult
a04d4663-eb9d-4fae-bab1-2549c7e02be9,88,Female,168,51,old
ee835638-95d5-4dd0-a912-227ec001ef06,24,Female,185,95,young
d13d7964-0d0d-4be0-bb64-6f213f921579,42,Female,118,82,adult
333c0b32-e155-4d2a-abc5-041ec4d25a9c,22,Female,138,20,young
9dfe38e0-581d-458f-bbd3-7b2d98865728,44,Female,84,1,adult
e010b10d-8ed9-41af-bd30-05de2c0c6fe4,58,Female,123,91,adult
1ecc4ca8-45f0-459e-a911-dae3227d2b0f,33,Female,178,29,adult
f50f86f2-79c0-45bd-9759-ff8154a7ccc3,59,Female,97,97,adult
65f4810e-a2c3-4b7c-ab9e-00e6a91ff435,72,Female,83,32,old
40f78c97-8537-4b3f-87d8-796bcbced99f,35,Female,139,33,adult
c225df9d-d2fc-4e1d-8328-894dac5471e1,37,Female,144,45,adult
d93d2a18-c9e8-42ed-a97c-84912b1b0efd,44,Female,187,6,adult
60fddc74-977b-4d01-8805-9e859748fdc3,58,Female,139,35,adult
fc971eb9-f7bf-46cd-9e83-6d1637d15ccb,39,Female,119,3,adult
7b60bfe9-99d7-4355-94fc-0a424055eb05,65,Female,151,44,old
b8858575-b5d6-4f66-8293-7521077f6d92,52,Female,76,31,adult
0729ee7a-444f-4c2e-9889-fb725930eb84,45,Female,58,64,adult
fcbc528b-9386-41fb-a974-19a9643c7580,59,Female,46,78,adult
1f4fb2c0-d8ae-4d1c-90ff-95a8e3dae34d,34,Female,61,72,adult
f13a0cc5-6fb9-4882-aef3-9ccfa421b185,45,Female,96,43,adult
61ebc7d9-15c5-41eb-adfb-9b772d36cbd4,19,Female,55,32,young
df11c432-c609-49b4-98d6-855eab890208,48,Female,93,70,adult
b7b6c61d-d600-4a63-89d4-157f2012c68e,78,Female,91,77,old
f5712da2-092b-4f52-aed2-bb93b9fee5ab,33,Female,36,73,adult
f9437183-0091-4f94-b9d5-5a97779b7e70,27,Female,41,50,young
64883a2d-bb3a-4a30-bb76-47f28ad095de,33,Female,120,51,adult
