Customer ID,Age,Gender,Annual Income,Spending Score,Age Group
9795712a-ad19-47bf-8886-4f997d6046e3,23,Male,55,57,young
64139426-2226-4cd6-bf09-91bce4b4db5e,24,Male,154,76,young
30661d57-eeb5-4886-970a-9c7d0f260ad8,27,Female,164,37,young
43417ade-6b17-431e-ae76-d8ed26aa46ac,24,Male,70,17,young
eb0e4ebc-fcc1-424f-b083-81987583ecc6,25,Male,88,17,young
b43f995c-c9ab-4c58-8f71-949de233ac71,19,Male,199,82,young
baa61fc0-4a1f-4210-916b-669d1ec44dbd,26,Male,46,12,young
05948202-e483-482a-9c02-6a655498002b,21,Male,200,49,young
dd6223b5-5aae-468b-b936-618b513d4e70,24,Male,109,6,young
65348b4f-9170-4edc-b035-cc484416face,19,Female,192,57,young
ea4a4765-11a6-433e-8016-110bc0bc5ed5,21,Female,118,43,young
d29643f1-551e-4353-a560-cf4e6797e003,24,Male,120,80,young
f67d66e3-9403-4d69-aee7-4a75c2a92e4d,28,Male,150,15,young
a6fac89e-e7a4-482d-9bb6-d32cd2abc346,26,Female,81,29,young
8e6a7fa3-bf7d-47dd-9e50-e3e7133fc39c,27,Female,199,25,young
04c9da15-a924-4beb-bcb3-3f2e3f6fcee5,25,Female,198,29,young
4d4ce6bb-da34-4f9c-8f1b-4c05bfe5fcaf,21,Male,56,34,young
d240e1a0-b50c-4bbe-8387-3c6082d42f20,23,Male,169,31,young
4729da16-d88d-4476-949d-404f5f54adb3,19,Female,96,93,young
80d67524-2ba0-468a-afaa-5cbfaa28a8a2,24,Male,154,79,young
e9798111-9781-437a-a9b9-232fe9055216,25,Male,142,63,young
716588b1-f862-4c02-a2cf-115cd43f654c,21,Female,175,33,young
d41eea9a-569d-42fb-94b1-d4551204c936,21,Male,172,80,young
90b18bf2-2413-4212-8934-e67ffc233192,22,Female,106,74,young
5ddc5df7-2656-4cc8-a95e-a0618d7cb8e6,27,Female,40,77,young
3d95829f-3d62-4ee6-a67f-d6efe7029686,21,Female,116,55,young
26852b46-dbfa-46f9-8d06-1b568551868e,27,Male,179,97,young
2bcc1223-2182-4117-ba07-1e3aa9d9b4bd,22,Male,158,83,young
6abe4dbc-1b70-4a8f-b0b1-7d1bff27fc65,23,Female,115,25,young
0947cfd7-72d1-456a-8524-947bf653fa57,18,Female,96,64,young
ee835638-95d5-4dd0-a912-227ec001ef06,24,Female,185,95,young
333c0b32-e155-4d2a-abc5-041ec4d25a9c,22,Female,138,20,young
052a6b92-7855-45d9-8903-5c9d69d6903b,27,Male,39,29,young
4884ace5-bbb8-4502-96e0-be564083da60,29,Male,48,53,young
