Customer ID,Age,Gender,Annual Income,Spending Score,Age Group
1770b26f-493f-46b6-837f-4237fb5a314e,58,Female,185,95,adult
caa4ad5a-51b2-4af1-91cb-e2802f620239,32,Female,160,96,adult
0c9d0e0d-a601-488c-9f3f-f036f2bdb536,51,Female,135,87,adult
9c702610-d6ce-48fe-9857-9e295e161ceb,39,Female,48,36,adult
59052529-9a68-4936-93db-43cc1d541e84,39,Female,136,95,adult
767f9ffd-7211-4045-a1d0-f700220928dc,35,Female,71,52,adult
cfe0eb40-4892-47fd-ac84-29dbd15f7bd4,57,Female,106,7,adult
b818a1f8-fdff-41a3-b1ca-de3faee17f81,56,Female,43,52,adult
10a2a14c-cebf-410d-81dc-c333101b5e6e,39,Female,45,12,adult
68969a5d-975c-4a8a-a357-1ce87ab24459,58,Female,85,16,adult
7cb46cd5-4ba6-4177-9d34-ceda14ed832e,45,Female,137,68,adult
0a9ca7d8-91f4-4189-a959-e8d5fde13881,48,Female,171,54,adult
3df8f77f-b527-4f3b-a2cf-b163ff5965d9,50,Female,101,32,adult
accc810b-e7e1-44dc-80bd-98e82bef02d1,48,Female,46,95,adult
cb05e681-1286-4f97-8e7d-2c9b67778936,49,Female,190,2,adult
c6ee3f30-4f9a-4125-8ba4-c6234e046dfb,33,Female,135,90,adult
97673bb1-e729-47b7-baad-905d6265d941,38,Female,37,91,adult
085e5698-1f05-46dc-b758-61a28ef4dac3,54,Female,29,61,adult
7d14cebc-4aed-430e-ae8a-6415fde6e4e6,39,Female,146,81,adult
2ddd5825-e37e-48bd-af2d-5e31c9955021,44,Female,113,14,adult
2260c459-3b7c-443c-a31d-088405b7f09c,55,Female,127,31,adult
601dddb0-0511-48c1-8e91-0dde69040557,52,Female,61,9,adult
385017d0-a567-45ce-8528-28c8b8804112,30,Female,99,4,adult
b75fb976-3c52-4fd2-9a94-3a2d85d70a82,36,Female,143,40,adult
0ced3471-db47-4b19-9723-e8333b091f98,31,Female,76,65,adult
35ec8343-eb43-4faa-af75-7a731381d1ee,37,Female,133,22,adult
