Customer ID,Age,Gender,Annual Income,Spending Score,Age Group
30661d57-eeb5-4886-970a-9c7d0f260ad8,27,Female,164,37,young
65348b4f-9170-4edc-b035-cc484416face,19,Female,192,57,young
ea4a4765-11a6-433e-8016-110bc0bc5ed5,21,Female,118,43,young
a6fac89e-e7a4-482d-9bb6-d32cd2abc346,26,Female,81,29,young
8e6a7fa3-bf7d-47dd-9e50-e3e7133fc39c,27,Female,199,25,young
04c9da15-a924-4beb-bcb3-3f2e3f6fcee5,25,Female,198,29,young
4729da16-d88d-4476-949d-404f5f54adb3,19,Female,96,93,young
716588b1-f862-4c02-a2cf-115cd43f654c,21,Female,175,33,young
90b18bf2-2413-4212-8934-e67ffc233192,22,Female,106,74,young
5ddc5df7-2656-4cc8-a95e-a0618d7cb8e6,27,Female,40,77,young
3d95829f-3d62-4ee6-a67f-d6efe7029686,21,Female,116,55,young
6abe4dbc-1b70-4a8f-b0b1-7d1bff27fc65,23,Female,115,25,young
0947cfd7-72d1-456a-8524-947bf653fa57,18,Female,96,64,young
ee835638-95d5-4dd0-a912-227ec001ef06,24,Female,185,95,young
333c0b32-e155-4d2a-abc5-041ec4d25a9c,22,Female,138,20,young
61ebc7d9-15c5-41eb-adfb-9b772d36cbd4,19,Female,55,32,young
f9437183-0091-4f94-b9d5-5a97779b7e70,27,Female,41,50,young
69fae815-5e3e-46de-8e87-4adf49ab06fa,19,Female,166,44,young
587c0ede-8f38-48df-8df8-bcf74df93862,22,Female,100,51,young
29b970a5-f3b9-4adc-a32c-4e6c47292284,21,Female,43,48,young
746683ed-cdeb-427b-89ad-5c61f76e5b44,27,Female,125,17,young
67daafbe-c602-46ef-b49c-7d09fa737824,22,Female,129,92,young
1508894c-0fec-448d-b4fd-42995713fc5f,19,Female,130,21,young
5a70b81e-ce1c-4a1f-9261-189df19aad74,29,Female,119,34,young
5a1ea26f-eb79-45aa-9f7c-8de30082eae2,22,Female,144,41,young
ccf68e64-dd0a-42c8-af5a-b9c63279585c,21,Female,102,83,young
39edec99-c6c9-4b6c-bf07-9ea2aa10eddd,21,Female,91,56,young
65013305-e804-46ec-a7c7-e568dd71a6dd,23,Female,134,44,young
fab1d2ec-7db0-4d26-9f6c-a26659d20511,20,Female,41,30,young
f6eb2491-0ac4-4822-84b7-896349f6ca46,23,Female,107,22,young
e87795ae-1dc1-4eb6-b208-c55be553f799,24,Female,42,74,young
b50a462c-c086-4b39-b802-11530bff89d6,26,Female,22,59,young
ee1aab8e-8116-4158-8b20-df700e20fade,19,Female,162,9,young
4853da47-603c-4169-91c4-d68305ad6ca4,19,Female,122,46,young
2e72afee-b14d-40b1-a4f9-c2d642f17011,26,Female,155,83,young
49374728-9fb7-4f33-8cee-0cb83eb2c8f5,23,Female,175,85,young
34e84fbd-bc66-4a42-b41f-6698d3d8b095,19,Female,169,95,young
acd44010-74ef-4fbb-950e-bc92c59caed4,20,Female,184,40,young
6a28d182-4618-4412-a59e-7b68dee25833,25,Female,136,44,young
f330001b-caa9-4233-af3e-4f134f342bbe,29,Female,80,38,young
4968c704-bb0b-401a-a63b-a16f36aed604,26,Female,155,57,young
31ccf237-208e-4c1c-8733-c5cd379cb3db,22,Female,132,14,young
