Customer ID,Age,Gender,Annual Income,Spending Score,Age Group
9795712a-ad19-47bf-8886-4f997d6046e3,23,Male,55,57,young
64139426-2226-4cd6-bf09-91bce4b4db5e,24,Male,154,76,young
43417ade-6b17-431e-ae76-d8ed26aa46ac,24,Male,70,17,young
eb0e4ebc-fcc1-424f-b083-81987583ecc6,25,Male,88,17,young
b43f995c-c9ab-4c58-8f71-949de233ac71,19,Male,199,82,young
baa61fc0-4a1f-4210-916b-669d1ec44dbd,26,Male,46,12,young
05948202-e483-482a-9c02-6a655498002b,21,Male,200,49,young
dd6223b5-5aae-468b-b936-618b513d4e70,24,Male,109,6,young
d29643f1-551e-4353-a560-cf4e6797e003,24,Male,120,80,young
f67d66e3-9403-4d69-aee7-4a75c2a92e4d,28,Male,150,15,young
4d4ce6bb-da34-4f9c-8f1b-4c05bfe5fcaf,21,Male,56,34,young
d240e1a0-b50c-4bbe-8387-3c6082d42f20,23,Male,169,31,young
80d67524-2ba0-468a-afaa-5cbfaa28a8a2,24,Male,154,79,young
e9798111-9781-437a-a9b9-232fe9055216,25,Male,142,63,young
d41eea9a-569d-42fb-94b1-d4551204c936,21,Male,172,80,young
26852b46-dbfa-46f9-8d06-1b568551868e,27,Male,179,97,young
2bcc1223-2182-4117-ba07-1e3aa9d9b4bd,22,Male,158,83,young
052a6b92-7855-45d9-8903-5c9d69d6903b,27,Male,39,29,young
4884ace5-bbb8-4502-96e0-be564083da60,29,Male,48,53,young
edba12eb-e908-42c4-81c7-b6770912c7fd,29,Male,146,82,young
a0ab2029-178e-4eed-a816-277dd64035fa,26,Male,111,96,young
0516205d-d816-4d8f-ab9b-d41f1a560e1c,22,Male,41,40,young
7eab5cb6-b411-4003-9993-06061f62b7b0,27,Male,56,100,young
e5647be0-0575-4fb6-8b1d-13b06203bd70,20,Male,112,39,young
d54d2196-da54-4eab-8ef0-0db3e9cdab3f,26,Male,83,4,young
f78d1f58-e72e-42c4-ab4b-056bb0830791,25,Male,72,39,young
790ce395-417a-4943-a8ae-ce90da71ab39,28,Male,194,19,young
4e6f9bfb-77c5-4a14-95c0-497f123477a8,28,Male,160,71,young
5cda82c4-cf88-4949-a8b2-0412fdc67680,26,Male,40,23,young
9db67b3e-286c-4fdd-8a94-53f5a0968f86,24,Male,184,21,young
bb047494-340f-4cb0-b88f-e4c8148eb2ae,20,Male,189,21,young
12da3593-4e95-4272-9553-1fc6e36e47cc,19,Male,150,61,young
08568a01-b6c5-47b7-a64b-81822fc84c88,26,Male,52,75,young
86cc129e-2e37-4d6f-886d-76030c177dfe,28,Male,83,10,young
