Customer ID,Age,Gender,Annual Income,Spending Score,Cluster
64139426-2226-4cd6-bf09-91bce4b4db5e,24,Male,154,76,-1
caa4ad5a-51b2-4af1-91cb-e2802f620239,32,Female,160,96,-1
b43f995c-c9ab-4c58-8f71-949de233ac71,19,Male,199,82,-1
5963ff82-b2de-453f-bffe-4fed059e18ae,58,Male,81,23,-1
c5e56dd8-5a20-4bd9-bbc0-97c380553084,76,Male,189,87,-1
7c3297d0-408b-4e5e-9c4c-abc9816af35a,67,Female,129,80,-1
accc810b-e7e1-44dc-80bd-98e82bef02d1,48,Female,46,95,-1
36fd3a7f-6226-4d3b-baf5-e39833d9782b,53,Male,150,32,-1
958eaa2c-0c0b-46fd-a085-b29ce9d5d8e6,56,Female,55,18,-1
2cb233a0-5916-49e0-800d-01869340347d,65,Male,156,49,-1
6abe4dbc-1b70-4a8f-b0b1-7d1bff27fc65,23,Female,115,25,-1
075acc31-0041-4ea2-8917-13a924da66e7,70,Male,160,34,-1
6557b342-6b66-4645-942f-b13f33f67e64,54,Male,88,40,-1
d7896112-ac06-4c31-90ff-479f168d9ac3,40,Male,44,70,-1
5ee59227-16af-4127-a51d-8981576f48ab,37,Male,135,6,-1
0dbead2b-6caa-4e05-b2de-e5f81b373a4a,34,Female,39,84,-1
836d7eca-db4b-4c3c-8d6a-a771b070551a,73,Female,145,54,-1
7c10963a-9c61-4f57-b314-e147b63d70e8,84,Male,22,48,-1
ea98c611-5bb3-4855-b79e-04be0cd0f179,39,Female,81,66,-1
d44d49f5-41d5-4588-b27f-0fed752e5a8e,44,Male,200,4,-1
a51e2948-955c-4f67-9a32-a22dd3e3798f,48,Male,125,1,-1
8f9a7106-5e73-4627-98af-f49939ed8b15,34,Female,139,63,-1
1e92ab44-1bba-41fc-a777-d52c72924ed2,81,Male,68,93,-1
3b514d1a-485b-4fce-83bd-b9a58dceb229,46,Female,135,1,-1
9807af68-f1f5-4a80-94ff-aacafee303dd,76,Female,75,37,-1
d4d2ae0f-ed77-46e1-8647-21bdce205458,77,Female,127,52,-1
13b200fb-a8b3-4861-bc81-93ac906b37fd,57,Male,135,39,-1
90d41402-9e50-4d94-9246-af60acb95a43,89,Male,66,86,-1
0399d445-cd05-4669-9fc1-c1e15d1dae0e,81,Male,54,17,-1
5a1ea26f-eb79-45aa-9f7c-8de30082eae2,22,Female,144,41,-1
ccf68e64-dd0a-42c8-af5a-b9c63279585c,21,Female,102,83,-1
a19318d0-9239-4cd2-aa2c-db80298d3a6e,70,Male,130,31,-1
a89bd9bc-80df-43cd-8304-aee824e2f8cb,58,Male,38,60,-1
3e8bb550-47cd-4528-8aa5-3b27ff02073e,48,Female,91,69,-1
26949bbb-adee-4a4a-b3cd-4058d5d3d261,27,Male,52,41,-1
38520282-8c74-4bd1-b64b-ffb002dce3fb,54,Male,107,20,-1
52b73425-892e-4595-8ca1-5a0c899eeca6,75,Female,71,91,-1
65013305-e804-46ec-a7c7-e568dd71a6dd,23,Female,134,44,-1
f6eb2491-0ac4-4822-84b7-896349f6ca46,23,Female,107,22,-1
b3cf2f01-e7c5-4b45-baa2-d5ab405edbfa,88,Female,94,83,-1
376d2107-1885-41a8-b612-99c09e400c92,55,Male,85,91,-1
19bbaf6c-2193-4a0d-b186-dffc1d475202,39,Male,194,85,-1
737b44d7-dc01-4230-81c5-7c23bf1c0346,83,Male,171,63,-1
6715f282-f30c-4f4b-9f27-5088672cda3d,82,Female,128,14,-1
38ae414c-383f-4f9a-976b-e1b24eef957d,67,Female,188,10,-1
e3623cad-6a78-4f78-bda3-b8593c88a68d,34,Male,67,91,-1
ccfe065d-ce0f-471c-9647-deb0bb47a646,66,Female,160,32,-1
9bfcc6da-bbca-4f11-b734-72fa3c6324d5,38,Female,176,31,-1
04902637-1050-4e53-8117-60404df896e9,73,Male,48,82,-1
6a28d182-4618-4412-a59e-7b68dee25833,25,Female,136,44,-1
55b58ffd-8345-4e23-b347-324baab8a7c6,36,Male,186,31,-1
ce34bc0c-3f65-4ed9-8989-c482f03a1d23,69,Male,160,40,-1
31ccf237-208e-4c1c-8733-c5cd379cb3db,22,Female,132,14,-1
6ecaf16d-4bad-499d-9bdb-51f7b54ed43a,69,Male,20,39,-1
b8565c5b-1304-4d1a-ac05-0badf0b675c9,74,Male,185,29,-1
833b203d-0e6b-475a-bdb8-bc553ec6897b,83,Female,104,1,-1
72c92f43-a16c-4d71-b966-c6ea64d31370,82,Male,117,58,-1
df8e8372-4d90-40be-8ea5-7fb1f623d785,27,Female,131,99,-1
5284802a-97a7-4ad2-a565-5f0f51f3653e,44,Male,163,79,-1
99c167a9-5178-43ef-9f1c-6d3f7ef003b7,53,Male,72,100,-1
118f87cd-439c-4940-be45-cdbd1d4f6d96,84,Male,197,86,-1
d947cee6-2d54-4c52-aca6-50e52af21aeb,48,Male,34,72,-1
88d57f33-c55f-468b-a01f-d1749b63ff33,34,Female,68,9,-1
3b2355b0-2e66-4aed-8c9b-43d69dbc3096,66,Female,113,73,-1
f19c3a5e-633f-4634-8591-ca1510bc74c1,57,Male,104,14,-1
8d61da5e-fed3-4655-a5f3-3a83897059e6,89,Female,134,2,-1
df980bc7-a3dc-41a5-b7ef-67389da34860,90,Female,39,64,-1
7f8d4f1a-b00d-4b2b-aa68-5e1907edbbf6,75,Male,87,9,-1
f90b2c9b-d9aa-4ef3-a1ae-e38586a45255,18,Male,132,87,-1
1cff38e7-d3ee-40ae-9c83-712334839a57,86,Male,68,32,-1
4a0acaa5-85ef-4ef1-a0e5-110696ec78ae,54,Female,113,97,-1
024f02e9-2e17-4861-bb0a-d948bf93667e,54,Male,112,44,-1
53bb078a-d5e7-4f7d-8ffd-9080a0705149,67,Male,114,5,-1
472bf092-6b64-4f06-9d29-c665bb707f37,47,Female,131,49,-1
d4781c2c-b97d-4fb9-ae27-7c5ac3ca3f83,69,Female,65,84,-1
a6dc29ca-8b04-4448-975b-31ac1748210e,62,Female,151,74,-1
