Age,Gender,Annual Income,Spending Score,Potensial
30,0,151,89,0
58,1,185,95,0
62,1,71,76,1
23,0,55,57,0
24,0,154,76,0
42,0,158,40,0
27,1,164,37,0
24,0,70,17,1
83,0,48,34,0
62,1,63,3,0
37,0,171,75,0
63,1,89,80,0
25,0,88,17,0
32,1,160,96,0
51,1,135,87,0
64,1,33,81,1
19,0,199,82,0
89,0,39,97,0
65,0,87,3,0
26,0,46,12,0
21,0,200,49,0
70,0,164,36,0
24,0,109,6,0
39,1,48,36,0
61,0,142,45,0
19,1,192,57,0
79,0,110,7,0
61,1,38,15,1
73,1,171,55,0
58,0,81,23,0
90,1,123,25,0
39,1,136,95,0
35,1,71,52,0
79,0,164,96,0
57,1,106,7,0
76,0,189,87,0
40,0,64,62,0
82,1,85,66,0
84,1,36,5,0
56,1,43,52,0
21,1,118,43,1
55,0,77,86,0
24,0,120,80,1
45,0,82,39,0
28,0,150,15,0
67,1,129,80,1
69,1,73,77,1
26,1,81,29,0
45,0,147,1,0
39,1,45,12,0
27,1,199,25,0
58,1,85,16,0
46,0,88,3,0
45,1,137,68,0
63,1,57,2,0
36,0,64,23,0
25,1,198,29,0
62,0,23,39,0
36,0,126,35,0
48,1,171,54,0
50,1,101,32,0
48,1,46,95,0
49,1,190,2,0
80,1,31,49,0
33,1,135,90,0
21,0,56,34,0
38,1,37,91,0
83,1,174,53,0
54,1,29,61,0
81,1,189,45,0
44,0,101,55,0
23,0,169,31,0
39,1,146,81,0
75,1,118,35,0
19,1,96,93,0
24,0,154,79,0
44,1,113,14,1
55,1,127,31,0
60,0,99,27,0
33,0,68,27,0
52,1,61,9,0
72,1,66,53,1
72,0,153,59,0
72,1,36,72,0
68,0,168,24,0
65,0,23,32,0
81,1,111,34,0
64,1,120,20,1
76,0,86,48,0
30,1,99,4,0
68,1,194,35,0
70,0,187,14,0
57,0,165,9,0
90,1,34,98,0
65,0,97,67,0
36,1,143,40,0
72,1,62,59,0
61,0,167,93,0
46,0,43,54,1
68,0,114,42,1
31,1,76,65,0
51,0,196,31,0
37,1,133,22,0
25,0,142,63,0
30,0,195,27,0
21,1,175,33,0
65,0,81,10,0
21,0,172,80,0
22,1,106,74,0
70,1,198,13,0
71,0,149,13,0
27,1,40,77,1
21,1,116,55,1
53,0,150,32,0
51,1,88,84,0
49,1,194,43,0
56,1,55,18,0
55,0,135,96,0
84,0,188,44,0
38,0,130,71,0
46,1,48,62,0
27,0,179,97,0
53,1,156,35,0
65,0,156,49,0
22,0,158,83,0
23,1,115,25,1
18,1,96,64,0
44,1,172,76,0
38,1,182,68,0
54,0,47,42,0
88,1,168,51,0
24,1,185,95,0
70,0,160,34,0
42,1,118,82,1
74,0,191,65,0
22,1,138,20,0
78,0,95,75,0
44,1,84,1,0
70,0,83,56,0
58,1,123,91,0
38,0,70,24,1
88,0,189,50,0
33,1,178,29,0
59,1,97,97,0
72,1,83,32,0
27,0,39,29,0
35,1,139,33,0
37,1,144,45,0
44,1,187,6,0
29,0,48,53,0
58,1,139,35,0
39,1,119,3,0
33,0,182,1,0
65,1,151,44,0
52,1,76,31,0
45,1,58,64,0
82,0,122,46,0
59,1,46,78,0
34,1,61,72,0
52,0,30,3,0
59,0,194,47,0
45,1,96,43,0
